program,section,n_near,n_far,mean_near,mean_far,delta
injPT,1004,185,12318,0.02,0.003,0.016
injPT,1006,160,18991,-0.3,0.007,-0.307
injPT,1007,219,14497,-0.044,-0.002,-0.043
injPT,1008,138,16414,0.716,-0.027,0.743
injPT,1009,202,3597,0.094,-0.015,0.109
injPT,1012,49,19046,-0.324,0.001,-0.325
injPT,1013,20,12079,0.486,-0.001,0.487
injPT,HK2695,345,82915,0.238,-0.005,0.242
injPT,HK3626,319,68363,0.24,-0.003,0.243
endoAct,1004,23,1517,0.177,-0.002,0.179
endoAct,1005,25,1631,-0.079,0.007,-0.086
endoAct,1006,120,4650,-0.002,0.001,-0.004
endoAct,1007,142,3309,-0.013,0.008,-0.021
endoAct,1008,26,3222,0.099,-0.001,0.1
endoAct,1009,124,908,0.023,-0.018,0.041
endoAct,1012,17,4017,-0.34,0.001,-0.342
endoAct,HK2695,186,12865,-0.195,0.006,-0.201
endoAct,HK3626,74,12462,0.126,-0.001,0.127
hypoxia,1004,23,1517,-0.126,0.005,-0.131
hypoxia,1005,25,1631,-0.12,-0.008,-0.112
hypoxia,1006,120,4650,-0.025,0.005,-0.03
hypoxia,1007,142,3309,-0.06,-0.003,-0.058
hypoxia,1008,26,3222,-0.116,0.004,-0.119
hypoxia,1009,124,908,-0.072,0.002,-0.074
hypoxia,1012,17,4017,-0.13,0.001,-0.131
hypoxia,HK2695,186,12865,-0.01,0.003,-0.012
hypoxia,HK3626,74,12462,-0.211,0.002,-0.212
