sample,Condition,n_cells,iPT_frac_epi,prog_score_PT,Blin_frac,n_agg,agg_per_mm2,total_imm_frac,myeloid_frac
1001,DKD,29126,0.0973,0.1559,0.0072,1,0.12,0.1001,0.0533
1003,IgA,30772,0.2952,0.3077,0.0082,0,0.0,0.1849,0.108
1004,AA amyloid,24449,0.3166,0.3114,0.0261,1,0.128,0.2236,0.0849
1005,MN,17937,0.3649,0.3378,0.0311,3,0.716,0.2538,0.131
1006,DKD,45609,0.2886,0.2649,0.0292,5,0.389,0.2167,0.1003
1007,C3GN,41336,0.208,0.185,0.0342,4,0.434,0.2622,0.0816
1008,DKD,27912,0.2046,0.1389,0.0132,2,0.265,0.1186,0.0524
1009,AA amyloid,10167,0.2821,0.3161,0.0562,4,1.547,0.2198,0.0666
1010,DKD,40475,0.122,0.2135,0.0051,0,0.0,0.161,0.0868
1011,DKD,27876,0.2083,0.125,0.0104,0,0.0,0.1316,0.0531
1012,DKD,39105,0.0808,0.223,0.0131,3,0.22,0.1549,0.0543
1013,DKD,28261,0.2191,0.2993,0.0196,1,0.13,0.2347,0.0764
HK2695,DKD,151101,0.0843,0.2804,0.0203,4,0.094,0.1432,0.0575
HK2753,Control,161350,0.0525,0.1718,0.0006,0,0.0,0.0333,0.0173
HK3106,Control,171526,0.065,0.1701,0.0004,0,0.0,0.0314,0.0217
HK3626,Control,104038,0.0526,0.2107,0.0081,3,0.104,0.0535,0.0261
