program,gene,target,target_detect,target_mean,floor_detect,ratio,usable,reason
injPT,VCAM1,epi,0.0851,0.1626,0.0213,3.99,True,
injPT,HAVCR1,epi,0.0382,0.0544,0.0033,11.5,True,
injPT,PROM1,epi,0.1206,0.1812,0.0033,36.82,True,
injPT,SPP1,epi,0.5042,1.8987,0.027,18.67,True,
injPT,ITGB6,epi,0.0776,0.1178,0.0031,24.94,True,
injPT,DCDC2,epi,,,,,False,absent
injPT,LCN2,epi,0.0,0.0,0.0,0.0,False,low detect
injPT,TIMP1,epi,0.0,0.0,0.0,0.0,False,low detect
fibroEMT,COL1A1,epi,0.0284,0.0371,0.0882,0.32,False,low detect
fibroEMT,FN1,epi,0.0049,0.0059,0.0123,0.4,False,low detect
fibroEMT,VIM,epi,0.2723,1.0842,0.557,0.49,False,<2x floor
fibroEMT,TGFB1,epi,0.0038,0.0039,0.02,0.19,False,low detect
fibroEMT,SNAI2,epi,0.007,0.0075,0.0311,0.22,False,low detect
endoAct,ICAM1,endo,0.0629,0.0766,0.0225,2.79,True,
endoAct,VCAM1,endo,0.0588,0.0832,0.0213,2.76,True,
endoAct,SELE,endo,0.0139,0.0198,0.0008,17.11,False,low detect
endoAct,ENG,endo,0.4804,0.9601,0.069,6.97,True,
endoAct,PLVAP,endo,0.479,1.0134,0.0107,44.58,True,
hypoxia,VEGFA,endo,0.0407,0.0463,0.0082,4.98,True,
hypoxia,CA9,endo,0.0006,0.0006,0.0005,1.16,False,low detect
