cluster,label,marker_basis
0,CD8 T,"CD3E=2.78,CD8A=3.16>CD4=0.35"
1,CD8 T,"CD3E=1.69,CD8A=2.60>CD4=0.17"
2,CD4 T,"CD3E=2.74,CD4=1.31,CD8A=0.27,FOXP3=0.26"
3,B,"MS4A1=2.94,CD79A=1.85"
4,CD4 T,"CD3E=1.72,CD4=0.76,CD8A=0.09,FOXP3=0.21"
5,CD4 T,"CD3E=2.02,CD4=1.45,CD8A=0.41,FOXP3=0.18"
6,Myeloid,"CD68=0.26,C1QA=0.51,CD163=0.13,AIF1=0.89"
7,Myeloid,"CD68=0.60,C1QA=2.05,CD163=0.58,AIF1=0.88"
8,CD4 T,"CD3E=0.92,CD4=0.31,CD8A=0.38,FOXP3=0.08"
9,Myeloid,"CD68=1.25,C1QA=2.84,CD163=1.22,AIF1=1.95"
10,Myeloid,"CD68=0.50,C1QA=1.24,CD163=0.37,AIF1=1.28"
11,Myeloid,"CD68=1.09,C1QA=3.08,CD163=1.17,AIF1=1.29"
12,Unresolved,"CD3E=0.00,CD68=0.19 (low signal)"
13,Myeloid,"CD68=0.28,C1QA=1.03,CD163=0.22,AIF1=0.63"
14,Unresolved,"CD3E=0.06,CD68=0.09 (low signal)"
15,Plasma,"MZB1=2.58,DERL3=1.89"
