row_0,DCT,EC,Fibroblast,IC,Immune,MC,PC/CNT,PEC,PT,Podo,TAL,VSMC,iPT,iTAL
DCT,26079,233,14,181,42,3,816,19,141,1,215,0,10,206
DTL_ATL,16,85,22,3,20,1,74,9676,43,7,61,0,178,636
EC,19,91515,2116,40,310,8987,29,30,237,64,42,1624,39,9
Fibroblast,34,5086,105238,61,2355,1291,30,142,663,79,152,5125,156,45
IC,89,165,20,25931,23,1,3979,6,60,0,25,0,10,8
Immune,23,3190,1186,30,98015,171,15,37,424,17,27,26,38,16
MC,1,173,558,3,10,10913,1,18,10,45,2,350,6,1
PC/CNT,3147,445,66,890,100,5,97918,316,235,12,124,2,132,882
PEC,0,109,111,2,15,12,3,5724,26,68,3,7,773,133
PT,40,6834,1107,93,3373,57,71,125,195198,12,122,57,1741,37
Podo,0,34,3,1,0,68,0,18,2,7179,0,1,2,0
TAL,177,556,178,17,90,5,24,54,223,1,55438,25,27,18665
VSMC,0,214,3851,0,19,302,1,17,15,6,0,8082,12,0
iPT,64,8520,770,153,1187,122,170,6303,13223,32,192,57,56171,267
iTAL,136,560,105,17,160,18,254,3846,457,2,3205,7,648,29037
