"cluster","n_cells","marker_type","immune_label","kidney_l1","kidney_agreement","conflict_type","cd3_pct","ptprc_pct","lamp3_pct","foxp3_pct","nk_pct","epi_pct","cd45_if","panck_if","protein_CD3_mean","protein_concordant","resolution_basis","resolved","flag_review","final_ref_cell_type"
"1",89707,"T_cell","Low-density neutrophils","Immune",0.505,"none",0.342,0.042,0.04,0.036,0.132,0.055,0.635,0.055,NA,NA,"",FALSE,FALSE,"Low-density neutrophils"
"2",52839,"Distal_tubule","Connecting Tubule","Connecting Tubule",0.553,"none",0.297,0.07,0.057,0.05,0.177,0.968,0.625,0.968,NA,NA,"",FALSE,FALSE,"Connecting Tubule"
"3",52158,"Tumor_RCC","Tumor_RCC","Immune",0.405,"none",0.426,0.081,0.084,0.066,0.254,0.1,0.577,0.1,NA,NA,"",FALSE,FALSE,"Tumor_RCC"
"4",43346,"Loop_of_Henle_TAL","Loop_of_Henle_TAL","Distal Convoluted Tubule",0.307,"none",0.267,0.056,0.051,0.045,0.171,0.257,0.585,0.257,NA,NA,"",FALSE,FALSE,"Loop_of_Henle_TAL"
"5",41359,"Endothelial","Endothelial","Endothelial",0.937,"none",0.237,0.062,0.041,0.037,0.168,0.056,0.52,0.056,NA,NA,"",FALSE,FALSE,"Endothelial"
"6",33058,"pDC","Low-density basophils","Immune",0.735,"none",0.518,0.159,0.109,0.103,0.368,0.082,0.439,0.082,NA,NA,"",FALSE,FALSE,"Low-density basophils"
"7",29472,"Stroma_mural","Fibroblast","Fibroblast",0.882,"none",0.159,0.029,0.024,0.021,0.084,0.066,0.512,0.066,NA,NA,"",FALSE,FALSE,"Fibroblast"
"8",29366,"Tumor_RCC","Tumor_RCC","Immune",0.316,"none",0.299,0.037,0.04,0.033,0.144,0.084,0.547,0.084,NA,NA,"",FALSE,FALSE,"Tumor_RCC"
"9",22037,"Tumor_RCC","Podocyte","Podocyte",0.529,"none",0.247,0.049,0.047,0.036,0.149,0.071,0.524,0.071,NA,NA,"",FALSE,FALSE,"Podocyte"
"10",19648,"Myeloid","Intermediate monocytes","Immune",0.742,"none",0.233,0.146,0.038,0.029,0.138,0.089,1,0.089,NA,NA,"",FALSE,FALSE,"Intermediate monocytes"
"11",18082,"Endothelial","Endothelial","Endothelial",0.721,"none",0.12,0.018,0.017,0.014,0.062,0.043,0.538,0.043,NA,NA,"",FALSE,FALSE,"Endothelial"
"12",17563,"Tumor_RCC","Tumor_RCC","Immune",0.379,"none",0.281,0.048,0.087,0.03,0.128,0.103,0.863,0.103,NA,NA,"",FALSE,FALSE,"Tumor_RCC"
"13",15194,"Stroma_mural","Fibroblast","Fibroblast",0.662,"none",0.317,0.16,0.08,0.059,0.224,0.095,0.572,0.095,NA,NA,"",FALSE,FALSE,"Fibroblast"
"14",13887,"Myeloid","Myeloid","Endothelial",0.489,"none",0.251,0.154,0.053,0.044,0.185,0.029,0.821,0.029,NA,NA,"",FALSE,FALSE,"Myeloid"
"15",12197,"Loop_of_Henle_TAL","Progenitor cells","Immune",0.769,"none",0.348,0.109,0.121,0.048,0.278,0.107,0.373,0.107,NA,NA,"",FALSE,FALSE,"Progenitor cells"
"16",10754,"Stroma_mural","Vascular Smooth Muscle / Pericyte","Vascular Smooth Muscle / Pericyte",0.883,"none",0.195,0.037,0.038,0.032,0.128,0.029,0.441,0.029,NA,NA,"",FALSE,FALSE,"Vascular Smooth Muscle / Pericyte"
"17",9667,"Loop_of_Henle_TAL","Progenitor cells","Immune",0.578,"none",0.29,0.154,0.096,0.05,0.261,0.135,0.333,0.135,NA,NA,"",FALSE,FALSE,"Progenitor cells"
"18",8331,"Tumor_RCC","Myeloid dendritic cells","Immune",0.747,"none",0.426,0.117,0.217,0.076,0.315,0.207,0.268,0.207,NA,NA,"",FALSE,FALSE,"Myeloid dendritic cells"
"19",8243,"Plasma","Low-density basophils","Immune",0.944,"none",0.798,0.503,0.299,0.314,0.724,0.091,0.188,0.091,NA,NA,"",FALSE,FALSE,"Low-density basophils"
"20",2270,"Loop_of_Henle_TAL","Loop_of_Henle_TAL","Immune",0.245,"none",0.301,0.163,0.089,0.057,0.258,1,0.328,1,NA,NA,"",FALSE,FALSE,"Loop_of_Henle_TAL"
"21",1878,"Distal_tubule","Distal_tubule","Endothelial",0.299,"none",0.353,0.084,0.17,0.055,0.241,0.789,0.323,0.789,NA,NA,"",FALSE,FALSE,"Distal_tubule"
"22",1336,"pDC","pDC","Immune",0.392,"none",0.299,0.086,0.082,0.052,0.215,0.159,0.206,0.159,NA,NA,"",FALSE,FALSE,"pDC"
