metric,condition,n_slides,mean,std
plasma_frac,control,4,0.0,0.0
plasma_frac,III,4,0.009,0.01
plasma_frac,IV,5,0.004,0.003
plasma_frac,IV+V,1,0.026,
myeloid_frac,control,4,0.009,0.007
myeloid_frac,III,4,0.03,0.021
myeloid_frac,IV,5,0.037,0.008
myeloid_frac,IV+V,1,0.057,
nhood_z_plasma_myeloid,control,1,5.48,
nhood_z_plasma_myeloid,III,4,8.617,5.939
nhood_z_plasma_myeloid,IV,5,6.132,1.251
nhood_z_plasma_myeloid,IV+V,1,5.7,
n_plasma_aggregates,control,4,0.0,0.0
n_plasma_aggregates,III,4,5.75,8.342
n_plasma_aggregates,IV,5,1.0,1.414
n_plasma_aggregates,IV+V,1,5.0,
plasma_agg_rate,control,3,0.0,0.0
plasma_agg_rate,III,4,0.257,0.176
plasma_agg_rate,IV,5,0.103,0.163
plasma_agg_rate,IV+V,1,0.399,
myeloid_log2enrich_in_plasma_aggs,control,0,,
myeloid_log2enrich_in_plasma_aggs,III,3,1.485,0.989
myeloid_log2enrich_in_plasma_aggs,IV,2,0.585,0.186
myeloid_log2enrich_in_plasma_aggs,IV+V,1,1.846,
