slide,condition,n_cells,n_plasma,n_myeloid,plasma_frac,myeloid_frac,nhood_z_plasma_myeloid,n_plasma_aggregates,plasma_agg_rate,myeloid_log2enrich_in_plasma_aggs,cd45_plasma,cd45_myeloid,cd45_other,panck_plasma,nhood_z_unpruned
SP17_2566_R1081_S2,III,27795,74,492,0.0027,0.0177,8.85,0,0.0,,62.2,67.5,41.8,738.7,8.75
SP17_8693_R1087_S1,IV,18784,65,609,0.0035,0.0324,5.95,0,0.0,,56.4,53.6,20.1,1193.5,6.6
SP18_3323_R1081_S2,IV,27247,53,1345,0.0019,0.0494,7.75,0,0.0,,40.8,44.1,18.7,659.8,7.63
SP18_8471_R1087_S2,III,12926,31,127,0.0024,0.0098,4.74,1,0.323,2.571,41.4,29.2,28.7,579.5,4.5
SP19_1139_R1080_S3,IV,60740,277,2018,0.0046,0.0332,5.58,3,0.144,0.453,493.7,336.1,195.4,1152.7,5.88
SP19_4061_R1087_S1,IV,16025,121,640,0.0076,0.0399,4.33,2,0.372,0.716,71.7,145.1,28.7,743.4,4.21
SP20_642_R1080_S3,IV+V,11839,306,678,0.0258,0.0573,5.74,5,0.399,1.846,228.1,230.6,128.6,944.1,5.7
SP20_1098_R1087_S2,IV,30671,32,862,0.001,0.0281,6.57,0,0.0,,71.9,86.8,17.3,468.1,6.34
SP20_10838_R1080_S1,III,33404,207,1209,0.0062,0.0362,4.36,4,0.304,1.248,222.8,214.6,61.0,4625.7,4.25
SP21_213_R1080_S1,III,49093,1172,2785,0.0239,0.0567,17.15,18,0.399,0.637,362.3,309.7,189.1,4192.2,16.97
SP22-1068-A2-S1,control,39183,2,298,0.0001,0.0076,,0,0.0,,394.0,331.2,239.7,1192.0,
SP22-1068-A2-S2,control,37821,0,278,0.0,0.0074,,0,,,,237.5,189.0,,
SMI0016C_SP17SP19,control,69776,2,1375,0.0,0.0197,,0,0.0,,209.5,396.3,208.2,300.0,
SMI0016c_SP2219,control,97088,18,256,0.0002,0.0026,5.49,0,0.0,,210.7,619.8,224.3,552.4,5.48
