slide,condition,aggregate,n_plasma,n_cells_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
SP18_8471_R1087_S2,III,0,10,137,0.0584,0.0098,2.571,27.337715486607106,19.044109999999996
SP19_1139_R1080_S3,IV,0,15,60,0.0333,0.0332,0.005,22.214068000000005,21.47424
SP19_1139_R1080_S3,IV,1,14,107,0.0374,0.0332,0.17,21.413868571428576,21.739384285714287
SP19_1139_R1080_S3,IV,2,11,137,0.0657,0.0332,0.984,21.69740363636364,21.551187272727272
SP19_4061_R1087_S1,IV,0,25,235,0.0766,0.0399,0.939,3.069740800000001,35.277537599999995
SP19_4061_R1087_S1,IV,1,20,238,0.0546,0.0399,0.452,3.071413000000001,35.174493
SP20_642_R1080_S3,IV+V,0,38,219,0.0639,0.0573,0.159,36.488273012955815,23.010028947368443
SP20_642_R1080_S3,IV+V,1,19,105,0.1143,0.0573,0.997,32.795939328745284,24.200242105263158
SP20_642_R1080_S3,IV+V,2,21,183,0.3989,0.0573,2.8,32.85927271220393,23.989011428571427
SP20_642_R1080_S3,IV+V,3,20,149,0.2819,0.0573,2.299,32.85682385506108,23.852700000000002
SP20_642_R1080_S3,IV+V,4,24,88,0.1705,0.0573,1.574,32.65741985506107,23.830207499999997
SP20_10838_R1080_S1,III,0,11,106,0.1132,0.0362,1.645,20.874698181818186,39.39862545454545
SP20_10838_R1080_S1,III,1,28,232,0.0647,0.0362,0.837,17.46513857142857,38.81519500000001
SP20_10838_R1080_S1,III,2,9,191,0.0942,0.0362,1.381,17.418400000000002,38.71702000000001
SP20_10838_R1080_S1,III,3,15,279,0.0717,0.0362,0.986,17.516328,38.68706800000002
SP21_213_R1080_S1,III,0,10,210,0.0476,0.0567,-0.253,0.2753280000000018,21.85043400000001
SP21_213_R1080_S1,III,1,13,206,0.1214,0.0567,1.097,0.5501907692307711,21.58410461538463
SP21_213_R1080_S1,III,2,16,235,0.1106,0.0567,0.964,0.7083337500000018,21.582146250000008
SP21_213_R1080_S1,III,3,59,518,0.0849,0.0567,0.582,0.3857766101694932,21.50306237288136
SP21_213_R1080_S1,III,4,12,166,0.0482,0.0567,-0.235,0.23080500000000162,21.563445000000012
SP21_213_R1080_S1,III,5,10,202,0.0693,0.0567,0.289,0.3702780000000011,21.90866400000001
SP21_213_R1080_S1,III,6,19,205,0.0829,0.0567,0.548,1.9274936842105304,22.730784210526327
SP21_213_R1080_S1,III,7,11,103,0.0485,0.0567,-0.225,2.132498181818186,22.71251636363637
SP21_213_R1080_S1,III,8,19,213,0.1033,0.0567,0.864,1.7478347368421099,22.46645894736843
SP21_213_R1080_S1,III,9,15,141,0.1773,0.0567,1.644,1.876764000000004,22.42421200000001
SP21_213_R1080_S1,III,10,29,217,0.0553,0.0567,-0.037,2.411911724137932,23.55637379310346
SP21_213_R1080_S1,III,11,12,159,0.0755,0.0567,0.412,2.5517950000000016,23.42729000000001
SP21_213_R1080_S1,III,12,12,158,0.057,0.0567,0.006,2.066425000000001,23.306765000000013
SP21_213_R1080_S1,III,13,10,148,0.1486,0.0567,1.39,3.4669320000000026,23.83233400000002
SP21_213_R1080_S1,III,14,154,750,0.092,0.0567,0.698,4.199742727272726,24.702501948051932
SP21_213_R1080_S1,III,15,11,167,0.1617,0.0567,1.511,10.325785454545459,27.876558181818197
SP21_213_R1080_S1,III,16,40,313,0.0799,0.0567,0.494,10.953823500000002,28.633409500000006
SP21_213_R1080_S1,III,17,16,168,0.0238,0.0567,-1.253,3.0736537499999996,25.837967500000026
